AuthorID	Author_Name
749709191	Ortrud R. Oellermann
772135924	Gyurjyan
773056657	C. R. Ottermann
776209817	Michael Hrušák
780561559	Katarzyna Drozda
785507549	Franz Fazekas
790391065	Augustin Delago
801775571	Peter H. Pfromm
815541428	Ramamohan Paturi
824479465	Craig Portsmouth
831349716	Charles D. Pusey
839840779	Terence Libeiro
840173058	David M. Holtzman
846255972	Batourine
855633617	Johan Håstad
859058238	Amos Maritan
878611849	Yasuo Idezuki
897944794	Yuri Roshko
910716725	Georgiy Elfond
922932251	Kelly Holley-Bockelmann
934250376	Kai Jannaschk
935092864	Mohammad Taghi Beigmohammadi
977966507	György Elekes
978763229	Matthew Hudelson
1002226088	V. L. Gilbart
1013389924	Pavol Hell
1018218459	E. Netanyahu
1041509233	Kamran Sedig
1046612510	Edmundo A. Rúveda
1049339643	Anna Valerieva
1071077321	Jill R. Faudree
1079826657	Jeremy Carmasin
1099396577	Thomas Ters
1118858225	James H. Scrivens
1128009417	Michael J. Ganley
1131465748	Tomáš Dvořák
1135651979	Tewodros Asefa
1144865590	Lin Padgham
1151234303	Peter A. B. Pleasants
1159177427	Randy Tuler
1163098454	Susan M. Dymecki
1164292429	Pablo Tebas
1169381275	Alberto Sesana
1174144048	Eduardo Rivera-Campo
1174546863	Valentina Damerow
1176217527	Walther J. van Venrooij
1188007951	Paul R. Chernoff
1192010061	Berthold Langguth
1193146344	Wen-Jin Woan
1195729749	Carol S. Giometti
1197491267	R. Agnese
1198829705	Gordon Antelman
1204820021	Colin A. McCannel
1205259972	Jonathan A. Kelner
1205300090	Oya Ekin
1205865653	Paul J. Tanenbaum
1206192889	Vivi Schlünssen
1209052946	Siegrid M. Hessenthaler
1210530673	Jeffrey Mariga
1212421505	Emanuela Balestrieri
1214611600	Tushar Hingorani
1215756492	Shmuel Zaks
1216661933	Robert W. Bosserman
1223960343	Wusirika Ramakrishna
1224375859	Nicolò Girometti
1226581170	Emil Grosswald
1227303983	José Mescua
1228280629	Stacey K. Mardekian
1228304292	Ana T. Dumans
1228670141	Yücel Tiraş
1232481253	T. Radeau
1233793422	Daniel J. DeAngelo
1236160922	Kalliopi M. Kouloufakou-Gratsia
1240164267	Marco Fraternali
1241936373	Brian Alspach
1243348716	Richard J. Nowakowski
1247350601	Conrad Messam
1254542391	B. N. Moyls
1255050494	Stephen T. Hedetniemi
1263081631	Peter Dankelmann
1263445620	Alessandro Coruzzi
1270813876	Brett Trusko
1271181986	Ron S. Kenett
1272362640	Peter J. Cowburn
1272796576	Mark N. Ellingham
1274218509	Alfredo R. Roldán-Manzo
1276565984	Kahori Shiba-Fukushima
1292686987	Joseph Malkevitch
1294863995	William J. Jagust
1306689736	Ulrich Spengler
1315669116	Carla Buzano
1326094713	Cesare Astori
1337466138	E. Martín-Peinador
1337865506	Paul Erdös
1339352930	Eric McDade
1344180932	Erhard Tornier
